70: Date: 19th Sep, Values={'ma10': 1288.9, 'ma20': 1051.25, 'ma50': 911.44, 'ma200': 898.585}
71: Date: 18th Sep, Values={'ma10': 1239.1, 'ma20': 1032.0, 'ma50': 908.14, 'ma200': 894.16}
72: Date: 17th Sep, Values={'ma10': 1188.1, 'ma20': 1009.55, 'ma50': 903.32, 'ma200': 889.49}
73: Date: 16th Sep, Values={'ma10': 1145.5, 'ma20': 983.35, 'ma50': 899.18, 'ma200': 885.28}
74: Date: 15th Sep, Values={'ma10': 1091.7, 'ma20': 951.9, 'ma50': 898.58, 'ma200': 881.825}
75: Date: 12th Sep, Values={'ma10': 1032.5, 'ma20': 912.8, 'ma50': 899.32, 'ma200': 878.93}
76: Date: 11th Sep, Values={'ma10': 961.2, 'ma20': 881.2, 'ma50': 901.68, 'ma200': 876.47}
77: Date: 10th Sep, Values={'ma10': 890.2, 'ma20': 844.2, 'ma50': 905.82, 'ma200': 873.98}
78: Date: 9th Sep, Values={'ma10': 831.5, 'ma20': 805.25, 'ma50': 910.98, 'ma200': 870.625}
79: Date: 8th Sep, Values={'ma10': 823.7, 'ma20': 772.4, 'ma50': 918.94, 'ma200': 868.04}
80: Date: 5th Sep, Values={'ma10': 813.6, 'ma20': 743.65, 'ma50': 925.72, 'ma200': 865.97}
81: Date: 4th Sep, Values={'ma10': 824.9, 'ma20': 720.95, 'ma50': 934.5, 'ma200': 865.17}
82: Date: 3rd Sep, Values={'ma10': 831.0, 'ma20': 702.3, 'ma50': 936.44, 'ma200': 864.315}
83: Date: 2nd Sep, Values={'ma10': 821.2, 'ma20': 678.7, 'ma50': 931.96, 'ma200': 862.9}
84: Date: 1st Sep, Values={'ma10': 812.1, 'ma20': 657.4, 'ma50': 931.06, 'ma200': 863.195}
85: Date: 29th Aug, Values={'ma10': 793.1, 'ma20': 649.75, 'ma50': 928.2, 'ma200': 863.845}
86: Date: 28th Aug, Values={'ma10': 801.2, 'ma20': 657.9, 'ma50': 936.62, 'ma200': 865.52}
87: Date: 26th Aug, Values={'ma10': 798.2, 'ma20': 662.15, 'ma50': 946.46, 'ma200': 867.315}
88: Date: 25th Aug, Values={'ma10': 779.0, 'ma20': 655.3, 'ma50': 958.82, 'ma200': 867.84}
89: Date: 22nd Aug, Values={'ma10': 721.1, 'ma20': 639.75, 'ma50': 963.74, 'ma200': 866.8}
90: Date: 21st Aug, Values={'ma10': 673.7, 'ma20': 642.2, 'ma50': 974.06, 'ma200': 865.565}
91: Date: 20th Aug, Values={'ma10': 617.0, 'ma20': 645.25, 'ma50': 986.58, 'ma200': 863.445}
