Date,Up 4-5%+ today,Down 4-5%+ today,Up 20%+ in 5d,Down 20%+ in 5d,Above 20dma,Below 20dma,Above 50dma,Below 50dma,Above 200dma,Below 200dma
29th Dec 25 2025,43,46,13,0,749,1384,712,1421,763,1370
26th Dec 25 2025,63,19,19,0,927,1203,764,1366,793,1337
24th Dec 25 2025,57,15,13,0,1079,1050,800,1329,810,1319
23rd Dec 25 2025,66,16,9,2,1129,1000,806,1323,817,1312
22nd Dec 25 2025,114,13,8,1,1011,1120,747,1384,800,1331
19th Dec 25 2025,90,17,9,1,698,1430,638,1490,758,1370
18th Dec 25 2025,40,29,11,1,491,1637,537,1591,715,1413
17th Dec 25 2025,31,55,13,1,494,1632,567,1559,723,1403
16th Dec 25 2025,38,28,14,0,624,1502,617,1509,755,1371
15th Dec 25 2025,79,21,16,1,745,1380,672,1453,777,1348
12th Dec 25 2025,100,11,9,3,694,1426,650,1471,759,1362
11th Dec 25 2025,77,16,5,3,503,1616,558,1561,724,1396
10th Dec 25 2025,53,29,7,2,388,1727,477,1638,707,1409
9th Dec 25 2025,133,15,1,2,425,1690,512,1603,712,1404
8th Dec 25 2025,18,240,3,2,320,1797,460,1657,684,1434
5th Dec 25 2025,32,36,3,3,540,1574,618,1496,782,1333
4th Dec 25 2025,31,27,3,4,530,1584,638,1476,789,1326
3rd Dec 25 2025,17,42,1,3,534,1579,635,1478,806,1308
2nd Dec 25 2025,27,33,5,2,646,1467,707,1406,826,1288
1st Dec 25 2025,63,38,6,2,727,1387,739,1376,851,1264
28th Nov 25 2025,56,19,2,2,753,1356,761,1349,857,1253
27th Nov 25 2025,53,19,2,3,740,1367,753,1355,853,1255
26th Nov 25 2025,84,12,3,2,745,1361,757,1350,866,1241
25th Nov 25 2025,71,13,4,3,557,1548,641,1466,814,1293
24th Nov 25 2025,35,135,5,6,515,1593,620,1489,792,1317
21st Nov 25 2025,31,35,5,4,604,1498,693,1411,847,1257
20th Nov 25 2025,38,24,8,4,758,1344,819,1284,886,1217
19th Nov 25 2025,41,42,6,3,787,1313,825,1276,905,1196
18th Nov 25 2025,38,36,12,3,775,1323,833,1266,905,1194
17th Nov 25 2025,96,49,11,2,941,1160,907,1195,953,1149
14th Nov 25 2025,75,44,12,2,872,1223,875,1221,931,1165
13th Nov 25 2025,71,48,12,2,854,1239,872,1222,956,1138
12th Nov 25 2025,104,28,8,2,888,1203,902,1190,965,1127
11th Nov 25 2025,68,52,7,8,741,1352,813,1281,924,1170
10th Nov 25 2025,81,88,11,7,742,1352,812,1283,926,1169
7th Nov 25 2025,74,38,11,2,668,1422,809,1281,923,1167
6th Nov 25 2025,45,147,13,2,606,1483,806,1283,911,1178
4th Nov 25 2025,39,28,15,0,880,1208,966,1122,1013,1075
3rd Nov 25 2025,98,37,17,0,1099,992,1082,1009,1055,1036
31st Oct 25 2025,43,30,12,0,978,1106,1014,1070,1024,1060
30th Oct 25 2025,51,23,10,0,1130,954,1096,988,1056,1028
29th Oct 25 2025,89,23,11,0,1167,916,1103,980,1067,1016
28th Oct 25 2025,62,29,13,1,1003,1085,999,1089,1028,1060
27th Oct 25 2025,80,35,19,1,1026,1068,1009,1085,1050,1044
24th Oct 25 2025,50,26,17,3,984,1104,973,1115,1014,1074
23rd Oct 25 2025,78,48,19,3,1071,1017,1013,1075,1039,1049
21st Oct 25 2025,55,2,22,0,1127,960,1027,1060,1045,1042
20th Oct 25 2025,95,43,14,2,941,1152,915,1178,1000,1093
17th Oct 25 2025,44,42,11,1,848,1237,859,1226,966,1119
16th Oct 25 2025,78,34,13,2,934,1148,921,1161,999,1083
15th Oct 25 2025,89,27,13,2,831,1251,872,1210,965,1117
14th Oct 25 2025,43,66,24,3,679,1401,783,1297,927,1153
13th Oct 25 2025,55,42,17,4,858,1225,903,1180,992,1091
10th Oct 25 2025,85,25,19,3,1007,1071,975,1103,1031,1047
9th Oct 25 2025,92,39,31,5,912,1168,926,1154,1007,1073
8th Oct 25 2025,78,26,30,2,824,1253,879,1198,991,1086
7th Oct 25 2025,62,33,22,1,910,1165,933,1142,1007,1068
6th Oct 25 2025,82,35,19,1,940,1134,946,1128,1006,1068
3rd Oct 25 2025,128,13,11,1,911,1161,929,1143,1022,1051
1st Oct 25 2025,126,8,12,1,690,1379,787,1282,964,1106
30th Sep 25 2025,44,30,8,2,488,1575,615,1448,882,1182
29th Sep 25 2025,63,63,14,3,456,1609,624,1441,880,1186
26th Sep 25 2025,14,115,18,1,450,1607,615,1442,884,1174
25th Sep 25 2025,42,37,21,1,750,1306,896,1160,1010,1047
24th Sep 25 2025,55,29,19,2,943,1112,1055,1000,1073,983
23rd Sep 25 2025,68,24,21,2,1116,938,1157,897,1115,940
22nd Sep 25 2025,80,40,26,2,1214,845,1200,860,1156,904
19th Sep 25 2025,71,20,21,1,1395,659,1300,756,1178,878
18th Sep 25 2025,57,17,20,1,1443,610,1307,747,1172,882
17th Sep 25 2025,76,17,24,1,1456,594,1300,751,1167,884
16th Sep 25 2025,80,13,17,1,1394,656,1243,808,1137,914
15th Sep 25 2025,88,17,14,1,1310,743,1124,930,1087,967
12th Sep 25 2025,55,13,15,1,1214,835,1074,976,1055,995
11th Sep 25 2025,53,24,22,1,1217,832,1062,988,1042,1008
10th Sep 25 2025,94,21,18,0,1206,843,1050,1000,1045,1005
9th Sep 25 2025,65,28,24,0,1016,1032,911,1138,987,1062
8th Sep 25 2025,127,18,33,1,1003,1048,892,1160,996,1056
5th Sep 25 2025,87,13,27,1,906,1141,860,1188,956,1092
4th Sep 25 2025,51,28,19,2,945,1103,857,1192,974,1075
3rd Sep 25 2025,113,12,16,0,1047,999,909,1138,989,1058
2nd Sep 25 2025,121,23,11,1,869,1176,785,1262,949,1098
1st Sep 25 2025,127,16,12,2,732,1316,703,1346,912,1137
29th Aug 25 2025,52,23,8,2,513,1531,574,1471,829,1216
28th Aug 25 2025,30,61,6,2,526,1517,590,1454,843,1201
26th Aug 25 2025,29,62,11,3,629,1409,687,1352,904,1135
25th Aug 25 2025,73,34,24,0,941,1100,892,1150,1001,1041
22nd Aug 25 2025,53,17,22,0,911,1126,897,1141,986,1052
21st Aug 25 2025,59,20,21,0,1020,1018,959,1080,1002,1037
20th Aug 25 2025,108,10,20,1,1005,1030,950,1086,998,1038
19th Aug 25 2025,125,14,18,1,952,1082,900,1135,991,1044
18th Aug 25 2025,148,31,18,1,779,1258,804,1234,944,1094
14th Aug 25 2025,46,74,15,3,547,1484,640,1391,875,1157
13th Aug 25 2025,110,48,11,5,595,1436,678,1353,913,1119
12th Aug 25 2025,77,51,6,5,498,1533,615,1417,885,1147
11th Aug 25 2025,89,63,6,3,439,1592,600,1432,872,1160
8th Aug 25 2025,49,75,8,4,371,1662,546,1487,842,1191
7th Aug 25 2025,53,52,8,5,442,1591,635,1398,924,1109
6th Aug 25 2025,40,72,8,5,459,1572,638,1393,938,1093
5th Aug 25 2025,48,40,9,5,570,1458,730,1298,991,1037
4th Aug 25 2025,95,46,13,4,573,1456,776,1253,1017,1012
1st Aug 25 2025,35,118,10,0,445,1581,708,1318,973,1053
31st Jul 25 2025,53,47,10,1,577,1445,862,1160,1069,953
30th Jul 25 2025,93,33,10,1,677,1341,980,1038,1104,914
29th Jul 25 2025,119,18,10,1,610,1408,947,1070,1097,921
28th Jul 25 2025,38,118,10,4,493,1529,802,1220,1042,980
25th Jul 25 2025,23,88,10,3,630,1386,1000,1017,1130,887
24th Jul 25 2025,46,36,12,2,957,1060,1300,717,1261,755
23rd Jul 25 2025,52,28,15,2,1086,930,1355,661,1281,735
22nd Jul 25 2025,58,21,16,2,1041,973,1370,645,1274,741
21st Jul 25 2025,71,32,15,3,1132,886,1424,594,1286,732
18th Jul 25 2025,50,18,15,1,1154,859,1462,551,1302,711
17th Jul 25 2025,63,15,16,1,1322,690,1545,467,1329,683
16th Jul 25 2025,87,13,12,0,1328,683,1547,464,1315,696
15th Jul 25 2025,102,7,9,0,1251,761,1489,523,1284,728
14th Jul 25 2025,71,20,16,1,997,1017,1355,659,1209,805
11th Jul 25 2025,42,15,6,0,989,1022,1392,619,1207,804
10th Jul 25 2025,68,10,11,1,1209,797,1497,509,1259,747
9th Jul 25 2025,75,8,10,1,1242,763,1501,505,1248,758
8th Jul 25 2025,56,15,13,1,1212,796,1485,523,1244,764
7th Jul 25 2025,65,27,19,1,1264,746,1513,497,1257,753
4th Jul 25 2025,65,15,18,1,1368,640,1564,444,1269,739
3rd Jul 25 2025,71,14,19,0,1352,653,1535,470,1253,752
2nd Jul 25 2025,55,20,21,0,1339,664,1527,476,1226,777
1st Jul 25 2025,79,20,26,0,1436,563,1559,440,1240,759
30th Jun 25 2025,112,16,29,0,1470,530,1566,434,1251,749
27th Jun 25 2025,89,13,23,0,1420,576,1530,466,1235,761
26th Jun 25 2025,63,12,22,0,1355,642,1510,487,1203,794
25th Jun 25 2025,152,6,10,0,1353,643,1505,491,1200,796
24th Jun 25 2025,95,15,5,1,1043,954,1343,653,1104,894
23rd Jun 25 2025,72,19,5,1,834,1165,1199,800,1059,941
20th Jun 25 2025,80,11,7,1,825,1169,1230,764,1043,952
19th Jun 25 2025,17,81,6,0,587,1407,1117,877,996,999
18th Jun 25 2025,38,23,4,0,926,1066,1352,640,1111,882
17th Jun 25 2025,47,36,7,1,1014,978,1404,588,1145,848
16th Jun 25 2025,74,15,9,1,1246,749,1504,491,1188,808
13th Jun 25 2025,38,23,16,1,1185,806,1516,475,1160,832
12th Jun 25 2025,36,47,21,0,1420,570,1592,398,1216,775
11th Jun 25 2025,110,19,25,0,1642,346,1705,283,1292,697
10th Jun 25 2025,104,9,30,1,1636,352,1682,306,1272,717
9th Jun 25 2025,154,9,24,0,1622,369,1664,327,1249,743
6th Jun 25 2025,114,18,21,0,1489,500,1576,413,1169,821
5th Jun 25 2025,116,6,15,0,1451,537,1509,479,1121,868
4th Jun 25 2025,99,19,13,0,1370,617,1486,501,1089,899
3rd Jun 25 2025,70,23,17,0,1314,672,1475,511,1064,923
2nd Jun 25 2025,122,46,23,0,1419,567,1508,478,1062,925
30th May 25 2025,91,58,26,0,1435,548,1517,466,1059,925
29th May 25 2025,103,44,34,0,1504,478,1538,444,1098,885
28th May 25 2025,97,30,24,1,1542,439,1551,430,1078,904
27th May 25 2025,79,27,27,1,1586,394,1575,406,1086,895
26th May 25 2025,113,39,19,0,1628,355,1614,370,1069,915
23rd May 25 2025,83,29,23,1,1635,344,1605,375,1049,931
22nd May 25 2025,70,37,26,1,1612,367,1574,406,1009,971
21st May 25 2025,84,36,30,1,1675,303,1600,379,1016,963
20th May 25 2025,57,71,54,1,1648,330,1586,393,982,997
19th May 25 2025,178,29,80,0,1768,213,1689,293,1049,933
16th May 25 2025,190,26,157,0,1756,222,1646,333,996,983
15th May 25 2025,151,26,87,0,1711,266,1549,429,931,1047
14th May 25 2025,205,10,43,1,1697,279,1481,496,862,1115
13th May 25 2025,163,17,33,1,1591,385,1297,680,776,1201
12th May 25 2025,971,8,14,1,1451,527,1165,814,730,1249
9th May 25 2025,43,44,8,3,538,1438,645,1332,519,1458
8th May 25 2025,47,38,5,2,635,1343,679,1299,534,1443
7th May 25 2025,86,21,4,3,787,1190,801,1176,581,1396
6th May 25 2025,14,316,5,1,674,1302,704,1272,531,1445
5th May 25 2025,132,20,11,1,1067,910,936,1041,646,1331
2nd May 25 2025,39,31,6,3,816,1161,821,1156,600,1377
30th Apr 25 2025,16,105,7,4,876,1099,828,1147,603,1372
29th Apr 25 2025,54,25,10,1,1232,743,1044,931,663,1312
28th Apr 25 2025,62,36,17,1,1283,694,1073,904,676,1301
25th Apr 25 2025,19,355,17,0,1295,679,1041,933,655,1319
24th Apr 25 2025,86,28,28,1,1751,225,1414,562,776,1200
23rd Apr 25 2025,95,13,42,1,1774,202,1391,585,783,1193
22nd Apr 25 2025,132,13,72,1,1769,206,1382,593,766,1209
21st Apr 25 2025,183,9,102,1,1755,221,1298,678,740,1236
17th Apr 25 2025,85,12,41,1,1630,343,1107,866,656,1317
16th Apr 25 2025,145,13,67,1,1627,346,1044,929,614,1359
15th Apr 25 2025,443,6,15,0,1497,476,904,1069,563,1410
11th Apr 25 2025,311,4,5,3,909,1062,576,1395,446,1525
9th Apr 25 2025,39,91,5,18,507,1462,399,1570,361,1608
8th Apr 25 2025,259,12,6,8,562,1408,440,1530,376,1594
7th Apr 25 2025,4,818,12,17,298,1672,292,1678,303,1667
4th Apr 25 2025,28,465,21,8,794,1175,555,1414,446,1523
3rd Apr 25 2025,201,22,30,2,1415,554,878,1091,551,1418
2nd Apr 25 2025,160,10,11,1,1258,710,754,1214,507,1461
1st Apr 25 2025,293,33,7,3,1052,917,648,1321,444,1525
28th Mar 25 2025,52,58,9,2,897,1067,633,1331,482,1482
27th Mar 25 2025,122,88,13,2,989,975,649,1315,494,1470
26th Mar 25 2025,26,178,19,3,955,1008,599,1364,456,1507
1st Apr 26 2026,1133,10,11,7,478,1657,332,1803,380,1755
30th Mar 26 2026,31,736,6,40,195,1941,206,1930,309,1827
27th Mar 26 2026,33,634,8,13,287,1848,248,1887,359,1776
25th Mar 26 2026,216,20,6,7,482,1653,328,1807,392,1743
24th Mar 26 2026,290,29,7,9,269,1866,244,1891,349,1786
23rd Mar 26 2026,6,968,5,5,145,1991,167,1969,297,1839
20th Mar 26 2026,101,27,14,5,370,1765,321,1814,396,1739
19th Mar 26 2026,17,305,6,3,264,1871,250,1885,376,1759
18th Mar 26 2026,318,9,7,3,498,1637,391,1744,450,1685
17th Mar 26 2026,99,18,6,8,260,1875,303,1832,407,1728
16th Mar 26 2026,40,119,5,6,192,1944,255,1881,379,1757
13th Mar 26 2026,18,376,9,7,214,1921,294,1841,383,1752
12th Mar 26 2026,59,49,11,6,433,1702,420,1715,448,1687
11th Mar 26 2026,76,54,11,5,438,1698,430,1706,468,1668
10th Mar 26 2026,277,15,11,5,447,1688,440,1696,478,1658
9th Mar 26 2026,28,281,6,13,274,1861,335,1801,417,1719
6th Mar 26 2026,59,39,4,8,392,1743,454,1682,503,1633
5th Mar 26 2026,114,19,9,3,405,1730,471,1665,513,1623
4th Mar 26 2026,47,261,8,4,293,1842,404,1732,470,1666
2nd Mar 26 2026,61,261,6,4,445,1690,493,1643,563,1573
27th Feb 26 2026,43,59,8,1,689,1445,689,1446,669,1466
26th Feb 26 2026,67,21,9,5,832,1302,761,1374,704,1431
25th Feb 26 2026,56,42,5,4,791,1343,745,1390,698,1437
24th Feb 26 2026,25,94,9,3,702,1432,676,1459,686,1449
23rd Feb 26 2026,63,47,6,2,861,1274,785,1351,717,1419
20th Feb 26 2026,49,30,9,5,833,1301,772,1363,708,1427
19th Feb 26 2026,36,51,9,5,801,1333,758,1377,705,1430
18th Feb 26 2026,69,16,6,5,1092,1042,927,1208,772,1363
17th Feb 26 2026,110,18,8,3,1031,1103,866,1269,749,1386
16th Feb 26 2026,51,105,12,4,924,1211,779,1357,728,1408
13th Feb 26 2026,35,166,21,1,960,1174,792,1343,724,1411
12th Feb 26 2026,62,103,27,1,1308,826,1024,1111,790,1344
11th Feb 26 2026,92,63,14,2,1488,646,1117,1018,817,1318
10th Feb 26 2026,138,38,32,1,1569,564,1144,990,816,1318
9th Feb 26 2026,388,18,52,1,1510,625,1066,1070,803,1333
6th Feb 26 2026,59,75,29,3,1120,1014,770,1365,683,1452
5th Feb 26 2026,55,91,34,6,1157,977,778,1357,691,1444
4th Feb 26 2026,240,54,45,18,1343,791,844,1291,723,1412
3rd Feb 26 2026,525,11,28,18,1135,1000,746,1389,703,1432
2nd Feb 26 2026,76,74,16,19,451,1685,370,1766,532,1604
1st Feb 26 2026,59,238,8,4,433,1702,359,1776,493,1642
30th Jan 26 2026,168,96,14,6,667,1466,495,1638,601,1532
29th Jan 26 2026,140,62,24,5,532,1601,433,1700,569,1564
28th Jan 26 2026,349,19,12,6,537,1595,424,1708,556,1576
27th Jan 26 2026,100,71,4,10,307,1828,322,1813,483,1652
23rd Jan 26 2026,54,209,2,6,272,1860,294,1838,476,1656
22nd Jan 26 2026,179,55,3,4,362,1770,371,1761,545,1587
21st Jan 26 2026,58,143,21,2,232,1899,291,1840,487,1644
20th Jan 26 2026,30,374,25,1,255,1875,317,1813,522,1608
19th Jan 26 2026,43,88,30,2,449,1683,474,1658,623,1509
16th Jan 26 2026,72,31,27,2,536,1592,533,1595,672,1456
14th Jan 26 2026,84,21,7,1,524,1603,553,1574,685,1442
13th Jan 26 2026,70,16,5,1,485,1642,521,1606,674,1453
12th Jan 26 2026,61,73,6,3,425,1705,502,1628,666,1464
9th Jan 26 2026,17,102,4,3,428,1697,533,1592,682,1443
8th Jan 26 2026,15,139,7,3,665,1461,697,1429,768,1358
7th Jan 26 2026,67,17,14,3,1056,1070,911,1215,854,1272
6th Jan 26 2026,44,26,16,1,1018,1107,874,1251,840,1285
5th Jan 26 2026,64,38,15,1,1136,991,931,1196,863,1264
2nd Jan 26 2026,102,11,12,1,1311,813,950,1174,865,1259
1st Jan 26 2026,63,15,9,2,1070,1055,827,1298,812,1313
31st Dec 25 2025,83,15,7,2,1044,1079,802,1321,810,1313
30th Dec 25 2025,56,34,9,2,773,1348,686,1435,759,1362
29th Dec 25 2025,43,46,13,0,748,1377,711,1414,763,1362
26th Dec 25 2025,64,19,19,0,926,1196,763,1359,793,1329
24th Dec 25 2025,57,15,13,0,1077,1044,798,1323,810,1311
23rd Dec 25 2025,66,16,9,2,1127,994,805,1316,816,1305
22nd Dec 25 2025,113,13,8,1,1010,1113,746,1377,799,1324
19th Dec 25 2025,90,17,9,1,697,1423,637,1483,757,1363
18th Dec 25 2025,40,29,11,1,491,1629,537,1583,714,1406
17th Dec 25 2025,31,54,13,1,494,1624,568,1550,722,1396
16th Dec 25 2025,38,28,14,0,624,1494,617,1501,754,1364
15th Dec 25 2025,79,21,16,1,743,1374,671,1446,776,1341
12th Dec 25 2025,100,10,9,3,693,1419,649,1464,758,1355
11th Dec 25 2025,77,15,5,3,502,1609,558,1553,723,1389
10th Dec 25 2025,53,28,7,2,388,1719,478,1629,706,1402
9th Dec 25 2025,133,15,1,2,424,1683,512,1595,711,1397
8th Dec 25 2025,18,237,3,2,319,1790,461,1648,683,1427
5th Dec 25 2025,32,36,3,3,536,1570,613,1493,781,1326
4th Dec 25 2025,29,27,3,4,526,1580,633,1473,788,1319
3rd Dec 25 2025,17,41,1,3,532,1573,631,1474,805,1301
2nd Dec 25 2025,27,33,5,2,642,1463,702,1403,824,1282
1st Dec 25 2025,62,37,6,2,723,1383,734,1373,848,1259
28th Nov 25 2025,56,20,2,2,748,1353,756,1346,855,1247
27th Nov 25 2025,52,17,2,3,736,1363,750,1350,852,1248
26th Nov 25 2025,83,12,3,2,741,1357,752,1347,864,1235
25th Nov 25 2025,70,13,4,3,554,1543,637,1462,811,1288
24th Nov 25 2025,35,134,5,6,514,1586,617,1484,790,1311
21st Nov 25 2025,30,34,5,4,601,1493,690,1406,844,1252
20th Nov 25 2025,38,23,8,4,755,1339,816,1279,883,1212
19th Nov 25 2025,42,41,6,3,785,1307,822,1271,902,1191
18th Nov 25 2025,37,36,12,3,772,1318,830,1261,902,1189
17th Nov 25 2025,95,46,11,2,937,1156,903,1191,950,1144
14th Nov 25 2025,74,44,12,2,868,1219,871,1217,928,1160
13th Nov 25 2025,70,49,12,2,850,1235,869,1217,953,1133
12th Nov 25 2025,104,27,8,2,884,1199,899,1185,962,1122
11th Nov 25 2025,68,52,7,8,738,1347,810,1276,921,1165
10th Nov 25 2025,81,88,11,7,739,1347,809,1278,923,1164
7th Nov 25 2025,73,38,10,2,665,1417,806,1276,920,1162
6th Nov 25 2025,44,145,12,2,603,1478,804,1277,908,1173
4th Nov 25 2025,39,28,14,0,876,1204,964,1116,1010,1070
3rd Nov 25 2025,97,37,16,0,1095,988,1079,1004,1052,1031
31st Oct 25 2025,42,30,11,0,973,1103,1011,1065,1021,1055
30th Oct 25 2025,51,23,10,0,1127,949,1093,983,1054,1022
29th Oct 25 2025,87,23,11,0,1164,911,1100,975,1065,1010
28th Oct 25 2025,61,29,13,1,1001,1079,998,1082,1026,1054
27th Oct 25 2025,79,36,19,1,1022,1064,1008,1078,1048,1038
24th Oct 25 2025,49,26,17,3,980,1100,972,1108,1012,1068
23rd Oct 25 2025,77,48,19,3,1068,1012,1012,1068,1037,1043
21st Oct 25 2025,55,2,22,0,1125,954,1025,1054,1043,1036
20th Oct 25 2025,95,42,14,2,940,1145,914,1171,998,1087
17th Oct 25 2025,43,42,11,1,847,1230,858,1219,964,1113
16th Oct 25 2025,77,34,13,2,933,1141,920,1154,997,1077
15th Oct 25 2025,89,27,13,2,830,1244,871,1203,963,1111
14th Oct 25 2025,43,67,24,3,677,1395,782,1290,925,1147
13th Oct 25 2025,55,41,17,4,857,1218,902,1173,990,1085
10th Oct 25 2025,85,24,19,3,1006,1064,974,1096,1029,1041
9th Oct 25 2025,91,39,31,5,911,1161,925,1147,1005,1067
8th Oct 25 2025,78,26,30,2,823,1246,878,1191,989,1080
7th Oct 25 2025,62,33,22,1,909,1158,932,1135,1005,1062
6th Oct 25 2025,83,35,19,1,939,1127,943,1123,1004,1062
3rd Oct 25 2025,128,12,11,1,910,1154,927,1137,1020,1045
1st Oct 25 2025,126,8,12,1,690,1371,786,1275,962,1100
30th Sep 25 2025,42,30,8,2,487,1568,614,1441,880,1176
29th Sep 25 2025,63,61,14,3,457,1600,623,1434,878,1180
26th Sep 25 2025,14,113,18,1,450,1599,614,1435,882,1168
25th Sep 25 2025,42,36,21,1,749,1299,893,1155,1008,1041
24th Sep 25 2025,55,29,18,2,940,1107,1050,997,1070,978
23rd Sep 25 2025,67,23,20,2,1113,933,1153,893,1112,935
22nd Sep 25 2025,79,40,25,2,1208,843,1195,857,1153,899
19th Sep 25 2025,69,20,20,1,1392,654,1295,753,1175,873
18th Sep 25 2025,55,17,20,1,1440,605,1303,743,1170,876
17th Sep 25 2025,75,17,24,1,1454,588,1297,746,1165,878
16th Sep 25 2025,79,12,17,1,1392,650,1241,802,1135,908
15th Sep 25 2025,88,16,14,0,1308,737,1122,924,1085,961
12th Sep 25 2025,55,12,15,1,1211,830,1072,970,1053,989
11th Sep 25 2025,53,23,22,1,1215,826,1059,983,1040,1002
10th Sep 25 2025,93,20,18,0,1204,837,1046,996,1043,999
9th Sep 25 2025,66,27,24,0,1015,1025,909,1132,985,1056
8th Sep 25 2025,125,17,33,1,999,1044,888,1156,993,1051
5th Sep 25 2025,86,13,27,1,901,1138,857,1183,953,1087
4th Sep 25 2025,50,28,19,2,942,1097,853,1187,971,1069
3rd Sep 25 2025,111,12,15,0,1044,993,905,1133,986,1052
2nd Sep 25 2025,121,22,11,0,866,1170,781,1257,946,1092
1st Sep 25 2025,127,14,12,1,729,1310,700,1340,909,1131
29th Aug 25 2025,50,22,8,1,510,1525,571,1465,826,1210
28th Aug 25 2025,30,59,6,1,523,1511,587,1448,841,1194
26th Aug 25 2025,28,60,11,2,625,1404,683,1347,901,1129
25th Aug 25 2025,72,33,23,0,936,1096,887,1146,999,1034
22nd Aug 25 2025,52,16,21,0,907,1121,893,1136,984,1045
21st Aug 25 2025,58,19,21,0,1014,1015,955,1075,1000,1030
20th Aug 25 2025,108,9,20,1,1002,1024,946,1081,996,1031
19th Aug 25 2025,123,14,17,1,948,1077,896,1130,989,1037
18th Aug 25 2025,146,31,16,1,775,1253,801,1228,942,1087
14th Aug 25 2025,45,74,14,3,545,1477,637,1385,872,1151
13th Aug 25 2025,109,48,10,5,592,1430,676,1346,910,1113
12th Aug 25 2025,76,51,5,5,494,1528,613,1410,882,1141
11th Aug 25 2025,86,63,5,3,436,1586,598,1425,870,1153
8th Aug 25 2025,47,74,7,4,369,1655,544,1480,840,1184
7th Aug 25 2025,52,52,7,5,441,1583,634,1390,922,1102
6th Aug 25 2025,39,72,7,5,458,1564,637,1385,936,1086
5th Aug 25 2025,47,40,8,5,568,1451,728,1291,988,1031
4th Aug 25 2025,93,46,12,4,571,1449,774,1246,1013,1007
1st Aug 25 2025,34,118,9,0,442,1575,705,1312,970,1047
31st Jul 25 2025,52,47,9,1,574,1439,858,1155,1066,947
30th Jul 25 2025,91,33,9,1,674,1335,976,1033,1101,908
29th Jul 25 2025,117,18,9,1,607,1402,943,1065,1094,915
28th Jul 25 2025,37,116,9,4,491,1522,800,1213,1039,974
25th Jul 25 2025,22,87,9,3,628,1379,996,1012,1126,882
24th Jul 25 2025,44,36,11,2,954,1054,1296,712,1257,750
23rd Jul 25 2025,51,28,14,2,1083,924,1352,655,1277,730
22nd Jul 25 2025,56,21,16,2,1038,967,1365,641,1270,736
21st Jul 25 2025,70,32,15,3,1129,880,1420,589,1283,726
18th Jul 25 2025,50,18,15,1,1151,854,1458,547,1300,705
17th Jul 25 2025,62,15,16,1,1317,686,1539,464,1325,678
16th Jul 25 2025,87,13,12,0,1323,679,1542,460,1312,690
15th Jul 25 2025,101,7,9,0,1246,757,1484,519,1281,722
14th Jul 25 2025,71,20,16,1,993,1012,1350,655,1206,799
11th Jul 25 2025,42,15,6,0,986,1016,1388,614,1204,798
10th Jul 25 2025,67,10,11,1,1206,791,1493,504,1256,741
9th Jul 25 2025,75,8,10,1,1239,757,1497,500,1245,752
8th Jul 25 2025,55,15,13,1,1207,792,1480,519,1241,758
7th Jul 25 2025,64,27,19,1,1260,741,1508,493,1254,747
4th Jul 25 2025,65,15,18,1,1364,635,1559,440,1265,734
3rd Jul 25 2025,71,14,19,0,1348,648,1531,465,1250,746
2nd Jul 25 2025,55,20,21,0,1335,659,1522,472,1223,771
1st Jul 25 2025,79,20,26,0,1430,560,1554,436,1237,753
30th Jun 25 2025,112,16,29,0,1465,526,1562,429,1248,743
27th Jun 25 2025,89,13,23,0,1416,571,1525,462,1232,755
26th Jun 25 2025,63,12,22,0,1351,637,1506,482,1200,788
25th Jun 25 2025,151,6,10,0,1348,639,1499,488,1197,790
24th Jun 25 2025,95,15,5,1,1037,951,1338,649,1101,888
23rd Jun 25 2025,72,19,5,1,830,1160,1195,795,1056,935
20th Jun 25 2025,79,11,7,1,820,1165,1224,761,1040,946
19th Jun 25 2025,17,81,6,0,585,1400,1114,871,994,992
18th Jun 25 2025,38,23,4,0,922,1061,1347,636,1108,876
17th Jun 25 2025,46,36,7,1,1008,975,1397,586,1142,842
16th Jun 25 2025,74,15,9,1,1240,746,1498,488,1185,802
13th Jun 25 2025,38,23,16,1,1178,804,1509,473,1156,827
12th Jun 25 2025,33,47,21,0,1413,568,1584,397,1212,770
11th Jun 25 2025,109,19,25,0,1634,345,1699,280,1289,691
10th Jun 25 2025,103,9,29,1,1629,350,1677,302,1269,711
9th Jun 25 2025,151,9,23,0,1615,367,1660,322,1246,737
6th Jun 25 2025,113,18,21,0,1485,495,1573,407,1166,815
5th Jun 25 2025,115,6,15,0,1446,533,1506,473,1118,862
4th Jun 25 2025,98,18,13,0,1365,613,1484,494,1086,893
3rd Jun 25 2025,68,23,17,0,1311,666,1473,504,1061,917
2nd Jun 25 2025,121,46,23,0,1416,561,1506,471,1059,919
30th May 25 2025,91,56,26,0,1430,544,1515,459,1056,919
29th May 25 2025,103,43,34,0,1501,472,1535,438,1095,879
28th May 25 2025,96,30,24,1,1536,436,1547,425,1075,898
27th May 25 2025,79,27,27,1,1580,391,1572,400,1083,889
26th May 25 2025,113,39,19,0,1622,352,1610,365,1066,909
23rd May 25 2025,83,29,23,1,1631,339,1602,369,1046,925
22nd May 25 2025,70,37,26,1,1609,361,1571,400,1006,965
21st May 25 2025,84,36,30,1,1670,299,1597,373,1013,957
20th May 25 2025,57,70,54,1,1645,324,1583,387,979,991
19th May 25 2025,178,29,80,0,1762,210,1686,287,1046,927
16th May 25 2025,190,26,157,0,1750,219,1643,327,993,977
