Date,Up 4-5%+ today,Down 4-5%+ today,Up 20%+ in 5d,Down 20%+ in 5d,Above 20dma,Below 20dma,Above 50dma,Below 50dma,Above 200dma,Below 200dma
1st Nov 2024,113,2,61,3,1055,930,800,1186,1265,722
31st Oct 2024,154,14,16,3,772,1212,639,1346,1210,776
30th Oct 2024,274,14,10,3,600,1383,561,1423,1153,832
29th Oct 2024,120,36,9,10,372,1611,461,1523,1069,916
28th Oct 2024,181,48,2,18,276,1708,390,1594,1027,958
25th Oct 2024,16,332,1,15,208,1777,333,1652,995,991
24th Oct 2024,49,74,2,4,282,1702,432,1552,1106,879
23rd Oct 2024,115,41,4,3,294,1689,463,1520,1138,846
22nd Oct 2024,13,727,6,3,244,1738,411,1571,1118,865
21st Oct 2024,65,140,19,1,514,1470,700,1284,1288,697
18th Oct 2024,66,24,18,1,710,1271,866,1115,1394,588
17th Oct 2024,38,60,23,0,709,1271,853,1127,1390,591
16th Oct 2024,122,15,30,0,931,1049,1021,959,1463,518
15th Oct 2024,116,15,27,0,894,1085,1005,974,1456,524
14th Oct 2024,93,23,38,0,845,1136,972,1009,1446,536
11th Oct 2024,96,7,19,2,792,1186,930,1048,1447,532
10th Oct 2024,132,16,15,3,741,1237,911,1067,1446,533
9th Oct 2024,178,7,7,2,644,1333,850,1127,1426,552
8th Oct 2024,363,17,6,1,489,1487,735,1241,1369,608
7th Oct 2024,16,666,5,4,268,1710,533,1445,1245,734
4th Oct 2024,39,65,11,2,522,1453,866,1109,1452,524
3rd Oct 2024,51,99,18,3,642,1331,969,1004,1485,489
1st Oct 2024,126,15,16,3,1030,943,1185,788,1577,397
30th Sep 2024,78,34,16,3,916,1057,1128,845,1564,410
27th Sep 2024,98,34,24,2,972,997,1141,828,1566,404
26th Sep 2024,54,30,26,1,947,1021,1144,824,1567,402
25th Sep 2024,62,30,17,2,1017,952,1189,780,1588,382
24th Sep 2024,97,26,18,1,1101,865,1229,737,1598,369
23rd Sep 2024,150,13,17,1,1088,880,1228,740,1606,363
20th Sep 2024,147,18,13,2,943,1023,1162,804,1568,399
19th Sep 2024,35,90,19,3,786,1180,1079,887,1529,438
